,SK_ID_CURR,NAME_FAMILY_STATUS,NAME_EDUCATION_TYPE,OCCUPATION_TYPE,NAME_CONTRACT_TYPE,CODE_GENDER,DAYS_BIRTH,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,ANNUITY_INCOME_PERC,AMT_CREDIT,AMT_ANNUITY,INCOME_CREDIT_PERC
0,100002,Single / not married,Secondary / secondary special,Laborers,Cash loans,0,25,0,202500.0,0.12195,406597.5,24700.5,0.498
1,100003,Married,Higher education,Core staff,Cash loans,1,45,1,270000.0,0.1322,1293502.5,35698.5,0.2087
2,100004,Single / not married,Secondary / secondary special,Laborers,Revolving loans,0,52,0,67500.0,0.1,135000.0,6750.0,0.5
3,100006,Civil marriage,Secondary / secondary special,Laborers,Cash loans,1,52,0,135000.0,0.2198,312682.5,29686.5,0.4316
4,100007,Single / not married,Secondary / secondary special,Core staff,Cash loans,0,54,0,121500.0,0.1799,513000.0,21865.5,0.2368
5,100008,Married,Secondary / secondary special,Laborers,Cash loans,0,46,0,99000.0,0.278,490495.5,27517.5,0.2018
6,100009,Married,Higher education,Accountants,Cash loans,1,37,0,171000.0,0.2416,1560726.0,41301.0,0.10956
7,100010,Married,Higher education,Managers,Cash loans,0,51,0,360000.0,0.1169,1530000.0,42075.0,0.2354
8,100011,Married,Secondary / secondary special,n.a.,Cash loans,1,55,0,112500.0,0.3008,1019610.0,33826.5,0.11035
9,100012,Single / not married,Secondary / secondary special,Laborers,Revolving loans,0,39,0,135000.0,0.15,405000.0,20250.0,0.3333
10,100014,Married,Higher education,Core staff,Cash loans,1,27,0,112500.0,0.1882,652500.0,21177.0,0.1724
11,100015,Married,Secondary / secondary special,n.a.,Cash loans,1,55,0,38419.156,0.2778,148365.0,10678.5,0.259
12,100016,Married,Secondary / secondary special,Laborers,Cash loans,1,36,0,67500.0,0.08716,80865.0,5881.5,0.835
13,100017,Married,Secondary / secondary special,Drivers,Cash loans,0,38,1,225000.0,0.1288,918468.0,28966.5,0.245
14,100018,Married,Secondary / secondary special,Laborers,Cash loans,1,39,0,189000.0,0.1735,773680.5,32778.0,0.2443
15,100019,Single / not married,Secondary / secondary special,Laborers,Cash loans,0,23,0,157500.0,0.128,299772.0,20160.0,0.5254
16,100020,Married,Secondary / secondary special,Drivers,Cash loans,0,35,1,108000.0,0.2421,509602.5,26149.5,0.2119
17,100021,Married,Secondary / secondary special,Laborers,Revolving loans,1,26,0,81000.0,0.1666,270000.0,13500.0,0.3
18,100022,Widow,Secondary / secondary special,Laborers,Revolving loans,1,48,0,112500.0,0.07,157500.0,7875.0,0.7144
19,100023,Single / not married,Higher education,Core staff,Cash loans,1,31,0,90000.0,0.1952,544491.0,17563.5,0.1653
